"Forecast_Period","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95","Key1"
"Sep 2024",113.078246663021,108.979668561829,117.176824764213,106.810012374105,119.346480951937,"2024-11-01_Detailhandel.excl..auto.s..tankstations"
"Aug 2024",113.167177703166,105.071981388972,121.26237401736,100.78664331799,125.547712088343,"2024-11-01_G.Handel"
"Aug 2024",125.572564104444,121.689865299302,129.455262909586,119.634488707796,131.510639501092,"2024-11-01_H.I.J.L.M.N.Totaal.dienstverlening"
"Aug 2024",124.628438454302,118.919220995911,130.337655912694,115.896943835434,133.359933073171,"2024-11-01_H.Vervoer.en.opslag"
"Aug 2024",204.317536258861,164.920635239523,243.714437278199,144.065175623198,264.569896894524,"2024-11-01_I.Horeca"
"Aug 2024",109.995853568243,107.254131351947,112.737575784539,105.802751281899,114.188955854587,"2024-11-01_J.Informatie.en.communicatie"
"Aug 2024",110.547024226271,108.767688557556,112.326359894985,107.825765151841,113.2682833007,"2024-11-01_L.Verhuur.en.handel.van.onroerend.goed"
"Aug 2024",109.495021483133,104.283467152972,114.706575813293,101.524636938951,117.465406027315,"2024-11-01_M.Specialistische.zakelijke.diensten"
"Aug 2024",141.184795014273,130.67035765673,151.699232371815,125.104350736771,157.265239291775,"2024-11-01_N.Verhuur.en.overige.zakelijke.diensten"
"Sep 2024",94.6998620309488,87.6787614778161,101.720962584082,83.9620153566899,105.437708705208,"2024-11-01_Winkels.in.meubels..woninginrichting.alg"
"Sep 2024",113.044430321007,107.841222070102,118.247638571911,105.086810003559,121.002050638455,"2024-11-01_Winkels.in.non.food..dh.geen.winkel"
"Aug 2024",130.76347488718,113.871983582077,147.654966192283,104.930168219489,156.596781554871,"2024-11-01_X45.Autohandel.en..reparatie"
"Aug 2024",160.250054037048,130.115862924904,190.384245149192,114.163785742451,206.336322331645,"2024-11-01_X451.Autohandel.en..reparatie"
"Aug 2024",120.237697892679,106.219834792222,134.255560993136,98.7992263119955,141.676169473363,"2024-11-01_X45111.Import.van.nieuwe.personenauto.s"
"Aug 2024",124.705386846952,118.236692406052,131.174081287851,114.812372416612,134.598401277291,"2024-11-01_X452.Gespecialiseerde.autoreparatie"
"Aug 2024",99.8329319252056,91.4927360431065,108.173127807305,87.0777030351555,112.588160815256,"2024-11-01_X453.Handel.in.auto.onderdelen"
"Aug 2024",87.0720587842657,77.3999292365693,96.7441883319621,72.2798131369088,101.864304431623,"2024-11-01_X454.Handel.en.reparatie.van.motorfietsen"
"Aug 2024",110.282080696974,102.611312711901,117.952848682048,98.5506534265334,122.013507967415,"2024-11-01_X46.Groothandel.en.handelsbemiddeling"
"Jul 2024",107.734886101266,90.8775143820133,124.592257820519,81.953760837142,133.516011365391,"2024-11-01_X462.Groothandel.in.landbouwproducten"
"Jul 2024",119.834439959059,111.734991925107,127.933887993011,107.447403129641,132.221476788478,"2024-11-01_X463.Groothandel.in.voedingsmiddelen"
"Jul 2024",100.202494381287,93.7454590665798,106.659529695995,90.3273110457248,110.07767771685,"2024-11-01_X464.Groothandel.in.non.food"
"Jul 2024",88.3103235230322,81.5384155708966,95.0822314751678,77.9535840443785,98.6670630016858,"2024-11-01_X466.Groothandel.in.industriemachines"
"Jul 2024",122.220821784509,110.897985852063,133.543657716955,104.904038576476,139.537604992541,"2024-11-01_X467.Overige.gespecialiseerde.groothandel"
"Sep 2024",112.806183193158,108.796328582293,116.816037804023,106.673639773263,118.938726613053,"2024-11-01_X47.Detailhandel..niet.in.auto.s."
"Sep 2024",113.596203153979,108.954114458302,118.238291849656,106.496741141539,120.695665166419,"2024-11-01_X471.Supermarkten.en.warenhuizen"
"Sep 2024",111.15349293654,106.872447574662,115.434538298417,104.606199053834,117.700786819246,"2024-11-01_X4711..472.Winkels.in.voedingsmiddelen"
"Sep 2024",110.592794424024,105.950335567949,115.235253280098,103.492766300108,117.69282254794,"2024-11-01_X4711.Supermarkten"
"Sep 2024",108.615867407759,104.660263488035,112.571471327484,102.566293260135,114.665441555383,"2024-11-01_X472.Winkels.in.voedingsmiddelen"
"Sep 2024",98.4656513583429,91.0796234623151,105.851679254371,87.1696964750363,109.761606241649,"2024-11-01_X474.Winkels.in.consumentenelektronica"
"Sep 2024",99.8636261056496,94.0613075129598,105.665944698339,90.9897455890537,108.737506622246,"2024-11-01_X475.Winkels.in.overige.huishoudwaren"
"Sep 2024",105.738717954886,99.4635195865542,112.013916323219,96.1416302305629,115.33580567921,"2024-11-01_X4752.Winkels.in.doe.het.zelfartikelen"
"Sep 2024",107.666367404394,99.3953281960979,115.937406612689,95.0169045198553,120.315830288932,"2024-11-01_X47528.Bouwmarkten"
"Sep 2024",93.6122783685964,86.6068254786179,100.617731258575,82.8983627300048,104.326194007188,"2024-11-01_X4759.Winkels.overige.huishoudartikelen"
"Sep 2024",108.050440827466,99.3504989710429,116.750382683888,94.7450279477779,121.355853707153,"2024-11-01_X476.Winkels.in.recreatieartikelen"
"Sep 2024",122.106877910605,112.621949501947,131.591806319264,107.600931699216,136.612824121994,"2024-11-01_X477.Winkels.in.overige.artikelen"
"Sep 2024",135.26998383722,119.516052210091,151.023915464349,111.176424565605,159.363543108835,"2024-11-01_X4771.Winkels.in.kleding"
"Sep 2024",131.359980100643,115.089730719681,147.630229481604,106.47678096646,156.243179234825,"2024-11-01_X4772.Winkels.in.schoenen.en.lederwaren"
"Sep 2024",120.432271082965,114.970036925569,125.894505240361,112.078504826926,128.786037339004,"2024-11-01_X47741.Drogisterijen"
"Sep 2024",109.655837385768,100.855169726105,118.45650504543,96.1963776834849,123.115297088051,"2024-11-01_X479.Detailhandel..geen.winkel.of.markt"
"Sep 2024",109.890102999711,98.3921084112259,121.388097588196,92.3054377441302,127.474768255292,"2024-11-01_X4791.Postorderbedrijven..webwinkels"
"Aug 2024",118.699066470573,113.043907119536,124.35422582161,110.050246592493,127.347886348653,"2024-11-01_X49.Vervoer.over.land"
"Aug 2024",121.389433977461,108.210809202137,134.568058752784,101.234466655155,141.544401299766,"2024-11-01_X50.Vervoer.over.water"
"Aug 2024",229.93519891857,203.455320758871,256.415077078268,189.437720000534,270.432677836605,"2024-11-01_X51.Vervoer.door.de.lucht"
"Aug 2024",115.064121678575,108.633402606843,121.494840750307,105.229185563512,124.899057793638,"2024-11-01_X52.Opslag..dienstverlening.voor.vervoer"
"Aug 2024",90.8103429444618,85.3963808042942,96.2243050846293,82.5304023679914,99.0902835209321,"2024-11-01_X53.Post.en.koeriers"
"Aug 2024",221.16353741433,175.294952827097,267.032122001563,151.013590873083,291.313483955577,"2024-11-01_X55.Logiesverstrekking"
"Aug 2024",193.877909083955,158.17360469288,229.582213475029,139.272887654463,248.482930513446,"2024-11-01_X56.Eet..en.drinkgelegenheden"
"Aug 2024",107.352978284054,101.351644636796,113.354311931313,98.1747305068487,116.53122606126,"2024-11-01_X58.Uitgeverijen"
"Aug 2024",104.096200826036,90.2136722444244,117.978729407648,82.8647055309214,125.327696121151,"2024-11-01_X59.Film..en.tv.productie..geluidsopname"
"Aug 2024",106.636433153371,94.5829983772652,118.689867929477,88.2022954359935,125.070570870748,"2024-11-01_X60.Radio..en.televisieomroepen"
"Aug 2024",101.769247644382,97.5961159238647,105.9423793649,95.3869934340491,108.151501854715,"2024-11-01_X61.Telecommunicatie"
"Aug 2024",113.528841079398,110.211343032439,116.846339126358,108.455165649054,118.602516509742,"2024-11-01_X62.IT.dienstverlening"
"Aug 2024",128.852125956978,112.735198432588,144.969053481368,104.203412367507,153.500839546449,"2024-11-01_X63.Diensten.op.het.gebied.van.informatie"
"Aug 2024",110.547024226271,108.767688557556,112.326359894985,107.825765151841,113.2682833007,"2024-11-01_X68.Verhuur.en.handel.van.onroerend.goed"
"Aug 2024",112.246134331816,106.293751231665,118.198517431967,103.142749956078,121.349518707553,"2024-11-01_X71.Architecten...ingenieursbureaus.e.d."
"Aug 2024",109.412735764089,103.745919997708,115.07955153047,100.746088937115,118.079382591063,"2024-11-01_X73.Reclamewezen.en.marktonderzoek"
"Aug 2024",137.171825093177,127.859743629008,146.483906557347,122.930225471613,151.413424714741,"2024-11-01_X74.Design..fotografie..vertaalbureaus"
"Aug 2024",365.278106990435,294.434599148477,436.121614832394,256.932311439311,473.62390254156,"2024-11-01_X79.Reisbureaus..reisorganisatie.en..info"
"Aug 2024",164.817551817644,154.943798644733,174.691304990555,149.716949445144,179.918154190144,"2024-11-01_X80.Beveiligings..en.opsporingsdiensten"
"Aug 2024",125.081314486463,119.852138000511,130.310490972415,117.083979180712,133.078649792213,"2024-11-01_X81.Schoonmaakbedrijven..hoveniers.e.d."
"Aug 2024",108.990867547097,99.0500526334641,118.931682460731,93.7877030927509,124.194032001444,"2024-11-01_X82.Overige.zakelijke.dienstverlening"
